target_family,priority,current_path,approx_lines,proposed_shard_strategy,why,parallel_group,owner_risk
governance_hygiene_brain,P0,backend/src/data_banks/manifest/bank_registry.any.json,37527,"Split by top-level family with generated aggregate manifest","Too large for safe parallel edits and blocks every integration step",registry_shard_lane,registry_shared
governance_hygiene_brain,P0,backend/src/data_banks/manifest/bank_aliases.any.json,10705,"Split by alias source and family","Monolithic alias map will create merge pressure",registry_shard_lane,registry_shared
governance_hygiene_brain,P0,backend/src/data_banks/manifest/bank_dependencies.any.json,8878,"Split by category graph and explicit override edges","Dependency graph is too large for multi-author edits",registry_shard_lane,registry_shared
field_exactness_evidence_brain,P0,backend/src/data_banks/document_intelligence/semantics/table_ontology.any.json,41311,"Split by domain and table family","Largest ontology file in tree and a hotspot for domain growth",ontology_shard_lane,ontology_shared
field_exactness_evidence_brain,P0,backend/src/data_banks/document_intelligence/semantics/section_ontology.any.json,21106,"Split by domain and doc-type family","Too large for safe parallel expansion",ontology_shard_lane,ontology_shared
field_exactness_evidence_brain,P1,backend/src/data_banks/semantics/domain/medical_report_ontology.any.json,21031,"Split by report family and finding type","Medical ontology will keep growing and is already too large",ontology_shard_lane,ontology_shared
composition_brain,P1,backend/src/data_banks/semantics/domain/medical_explanation_templates.any.json,16509,"Split by symptom lab imaging risk and audience","Large explanation bank should not remain monolithic",ontology_shard_lane,ontology_shared
assistant_orchestration_brain,P1,backend/src/data_banks/patterns/modes/mode_switch.en.any.json,27364,"Split by intent family and answer mode","Monolithic English mode-switch patterns block parallel work",pattern_shard_lane,pattern_shared
assistant_orchestration_brain,P1,backend/src/data_banks/patterns/modes/mode_switch.pt.any.json,27364,"Split by intent family and answer mode","Monolithic Portuguese mode-switch patterns block parallel work",pattern_shard_lane,pattern_shared
composition_brain,P1,backend/src/data_banks/patterns/editor/highlight_intents.en.any.json,20050,"Split by target object and action family","Huge editor intent bank with high collision risk",pattern_shard_lane,pattern_shared
composition_brain,P1,backend/src/data_banks/patterns/editor/highlight_intents.pt.any.json,12578,"Split by target object and action family","Huge localized editor intent bank with high collision risk",pattern_shard_lane,pattern_shared
composition_brain,P1,backend/src/data_banks/patterns/editor/locate_target_phrases.any.json,12932,"Split by object type and anchor type","High-growth editor pattern monolith",pattern_shard_lane,pattern_shared
field_exactness_evidence_brain,P1,backend/src/data_banks/patterns/domains/legal/clause_patterns.any.json,18036,"Split by clause family and cross-reference family","Legal clause patterns are already too large for one file",pattern_shard_lane,pattern_shared
field_exactness_evidence_brain,P1,backend/src/data_banks/patterns/domains/medical/lab_panel_patterns.any.json,20423,"Split by panel family","Medical lab panel patterns are oversized",pattern_shard_lane,pattern_shared
field_exactness_evidence_brain,P1,backend/src/data_banks/patterns/domains/medical/unit_and_reference_range_patterns.any.json,18039,"Split by test family and unit family","High-growth medical evidence pattern monolith",pattern_shard_lane,pattern_shared
assistant_orchestration_brain,P1,backend/src/data_banks/patterns/operators/advise.any.json,17738,"Split into operator core plus domain overlays","Operator pattern bank is too large and duplicated in shape",operator_shard_lane,operator_shared
assistant_orchestration_brain,P1,backend/src/data_banks/patterns/operators/calculate.any.json,17738,"Split into operator core plus domain overlays","Operator pattern bank is too large and duplicated in shape",operator_shard_lane,operator_shared
assistant_orchestration_brain,P1,backend/src/data_banks/patterns/operators/compare.any.json,17738,"Split into operator core plus domain overlays","Operator pattern bank is too large and duplicated in shape",operator_shard_lane,operator_shared
assistant_orchestration_brain,P1,backend/src/data_banks/patterns/operators/evaluate.any.json,17738,"Split into operator core plus domain overlays","Operator pattern bank is too large and duplicated in shape",operator_shard_lane,operator_shared
assistant_orchestration_brain,P1,backend/src/data_banks/patterns/operators/extract.any.json,17738,"Split into operator core plus domain overlays","Operator pattern bank is too large and duplicated in shape",operator_shard_lane,operator_shared
assistant_orchestration_brain,P1,backend/src/data_banks/patterns/operators/locate.any.json,17738,"Split into operator core plus domain overlays","Operator pattern bank is too large and duplicated in shape",operator_shard_lane,operator_shared
assistant_orchestration_brain,P1,backend/src/data_banks/patterns/operators/monitor.any.json,17738,"Split into operator core plus domain overlays","Operator pattern bank is too large and duplicated in shape",operator_shard_lane,operator_shared
assistant_orchestration_brain,P1,backend/src/data_banks/patterns/operators/navigate.any.json,17738,"Split into operator core plus domain overlays","Operator pattern bank is too large and duplicated in shape",operator_shard_lane,operator_shared
assistant_orchestration_brain,P1,backend/src/data_banks/patterns/operators/open.any.json,17738,"Split into operator core plus domain overlays","Operator pattern bank is too large and duplicated in shape",operator_shard_lane,operator_shared
assistant_orchestration_brain,P1,backend/src/data_banks/patterns/operators/summarize.any.json,17738,"Split into operator core plus domain overlays","Operator pattern bank is too large and duplicated in shape",operator_shard_lane,operator_shared
assistant_orchestration_brain,P1,backend/src/data_banks/patterns/operators/validate.any.json,17738,"Split into operator core plus domain overlays","Operator pattern bank is too large and duplicated in shape",operator_shard_lane,operator_shared
