id,owner,path,category,checksum,lastUpdated,dependsOn
clarification_question_bank,"koda-ambiguity","ambiguity/clarification_question_bank.any.json",ambiguity,4f7f9afd6f1b04147af5c92a4389d2a7e0fe00b2b70b3eadb4bd47a787131d36,2026-03-13,""
field_role_disambiguation,"koda-ambiguity","ambiguity/field_role_disambiguation.any.json",ambiguity,e1a02e81193bdc4f1ecaa599e6d248b7328294bd7f9cd1a9c82a95fb48b667ca,2026-03-13,"entity_role_ontology"
one_best_question_policy,"koda-ambiguity","ambiguity/one_best_question_policy.any.json",policies,6751716e43c596971c68fba95837fdac69655f9a9612d40da452315c4307e208,2026-03-13,"quality_gates"
answer_recovery_strategies,"koda-repair","repair/answer_recovery_strategies.any.json",quality,e210d9bae4150fc373660f5c39ea2aa0fc6c78608aa33a703113cf63311672ee,2026-03-13,"quality_gates"
partial_answer_recovery,"koda-repair","repair/partial_answer_recovery.any.json",quality,f47ca5b273f11c7689c18e685c528674d4f3d576dc7dd49d3cc4199d750cda2a,2026-03-13,"quality_gates"
not_enough_evidence,"koda-repair","repair/not_enough_evidence.any.json",quality,a476d4e43f66e6caaf9ea6ec6c206240067c5a42eed4932d91bc508b1c84a89b,2026-03-13,"quality_gates"
contradiction_resolution,"koda-repair","repair/contradiction_resolution.any.json",quality,19e75ab72305697eb2cc13b9b2aab23de87f718f664ab6de5bd942c3a04a99da,2026-03-13,"quality_gates"
followup_generation,"koda-repair","repair/followup_generation.any.json",quality,b2542257b5d13b2b922856117d2ffd102a900485b5586f30ba747bf746585ca5,2026-03-13,"quality_gates"
false_negative_rescue,"koda-repair","repair/false_negative_rescue.any.json",quality,249135c3fb70bcbebd401d246b5632227bded2afcd370799212b091367703d31,2026-03-13,"quality_gates"
reask_vs_answer_policy,"koda-repair","repair/reask_vs_answer_policy.any.json",policies,272c1d1fb1f80bc529ea1a7cb73f55b223ee373c834fb4bec39d7e02992d7576,2026-03-13,"quality_gates"
evidence_binding_contract,"koda-retrieval","retrieval/evidence_binding_contract.any.json",retrieval,00d87ae3b55496a7bdd7f4f78907b9adbe2dc721f8677e4d1676b23da6b03036,2026-03-13,"field_role_ontology"
field_role_ontology,"koda-retrieval","retrieval/field_role_ontology.any.json",semantics,d6fc24a0ebb59471ea808b0249daf0af4b9873db8ca90a7ca82ad4ac2c04b6cd,2026-03-13,"entity_role_ontology"
field_lock_patterns,"koda-retrieval","retrieval/field_lock_patterns.any.json",retrieval,0122cfbc57d08068ce2bfd819962cc4db27d17a469d01d6f80050028b3df7291,2026-03-13,"field_role_ontology"
quote_span_rules,"koda-retrieval","retrieval/quote_span_rules.any.json",retrieval,70a0f0617942abeb676fbed3ac1bcd52c87b183a36e9282d1f04f683ed6d1dd3,2026-03-13,"evidence_packaging"
