queryId,grade,intent_ok,sources_ok,citations_ok,language_ok,format_ok,completeness_ok,memory_ok,ui_payload_ok,latency_ok,primary_root_cause,fix_file_function
q46,C,1,1,1,1,1,0,NA,1,1,incomplete_hedges,kodaAnswerEngineV3.ts:generateAnswer()
q01,B,1,1,1,1,0,1,NA,1,1,no_bullet_format,kodaFormattingPipelineV3.ts:formatSimple()
q02,B,1,1,1,1,1,1,NA,1,1,citation_verbose,citation_building
q03,B,1,1,1,1,0,1,NA,1,1,no_bullet_format,kodaFormattingPipelineV3.ts:formatSimple()
q04,D,0,0,0,1,0,0,NA,1,0,instant_help_template,routingPriority.service.ts:excelBoost
q23,B,1,1,1,0,1,1,NA,1,1,pt_fragments_in_en,languageEnforcement.service.ts:sanitize()
q05,B,1,1,1,1,1,1,NA,1,1,citation_count_low,citation_building
q06,B,1,1,1,1,1,1,1,1,1,minor_formatting,kodaFormattingPipelineV3.ts
q28,F,1,1,1,0,1,1,NA,1,1,raw_pt_in_en_answer,languageEnforcement.service.ts:sanitize()
q29,B,1,1,1,0,1,1,NA,1,1,pt_quoted_in_en,languageEnforcement.service.ts
q30,B,1,1,1,1,1,1,NA,1,1,minor_wordiness,answer_style
q07,C,1,1,1,1,1,0,NA,1,1,incomplete_explanation,kodaAnswerEngineV3.ts:depth
q47,C,1,1,1,1,1,0,NA,1,1,incomplete_generic,retrieval_boost
q37,B,1,1,1,0,1,1,NA,1,1,pt_quoted_in_en,languageEnforcement.service.ts
q08,A,1,1,1,1,1,1,NA,1,1,none,none
q09,B,1,1,1,1,1,1,NA,1,1,minor_verbosity,answer_style
q10,B,1,1,1,1,1,1,NA,1,1,minor_verbosity,answer_style
q34,B,1,1,1,1,1,1,1,1,1,minor,none
q45,B,1,1,1,1,1,1,NA,1,1,minor,none
q32,B,1,1,1,1,1,1,NA,1,1,minor,none
q33,B,1,1,1,1,1,1,NA,1,1,minor,none
q38,B,1,1,1,1,1,1,NA,1,1,minor,none
q41,B,1,1,1,0,1,1,NA,1,1,pt_quoted_in_en,languageEnforcement.service.ts
q42,B,1,0,0,1,1,1,NA,1,1,reasoning_no_docs,intentConfig.service.ts
q44,B,1,1,1,1,0,1,NA,1,1,line_count_not_enforced,formatConstraintParser.ts
q31,C,1,1,1,1,0,0,NA,1,1,too_verbose,kodaFormattingPipelineV3.ts
q35,C,1,1,1,0,1,0,NA,1,1,pt_terms_in_en_verbose,languageEnforcement+format
q49,B,1,1,1,0,1,1,NA,1,1,pt_terms_in_en,languageEnforcement.service.ts
q50,C,1,1,1,1,0,0,NA,1,1,too_formal_not_chat,answer_styles.json
q11,C,1,1,1,1,1,0,NA,1,1,hedges_nao_vejo,monthNormalization.service.ts
q12,C,1,1,1,1,1,0,NA,1,1,wrong_docs_retrieved,kodaHybridSearch.service.ts
q16,F,0,0,0,1,0,0,0,1,0,help_template_followup,decisionTree.service.ts:294
q36,C,1,1,1,1,1,0,0,1,1,wrong_docs_followup,kodaRetrievalEngineV3.ts:lastDocIds
q13,C,1,1,1,1,1,0,NA,1,1,incomplete_months_list,retrieval_depth
q14,F,0,0,0,1,0,0,0,1,0,help_template_followup,decisionTree.service.ts:294
q15,C,1,1,1,1,1,0,NA,1,1,hedges_wrong_field,monthNormalization.service.ts
q17,C,1,1,1,1,1,0,NA,1,1,generic_pl_definition,retrieval_relevance
q25,A,1,1,1,1,1,1,NA,1,1,none,none
q26,C,1,1,1,1,1,0,NA,1,1,no_month_name,monthNormalization.service.ts
q27,B,1,1,1,1,1,1,NA,1,1,minor,none
q43,C,1,1,1,1,1,0,NA,1,1,no_nov_data,monthNormalization.service.ts
q48,A,1,1,1,1,1,1,NA,1,1,none,none
q18,A,1,1,1,1,1,1,NA,1,1,none,none
q19,C,1,1,1,1,1,0,0,1,1,wrong_doc_scrum_not_guide,kodaRetrievalEngineV3.ts:lastDocIds
q40,D,1,1,1,1,1,0,0,1,1,followup_wrong_docs,kodaRetrievalEngineV3.ts:lastDocIds
q39,B,1,1,1,1,1,1,NA,1,1,minor,none
q21,A,1,1,1,1,1,1,NA,1,1,none,none
q22,C,1,1,1,1,1,0,0,1,1,generic_no_guide_ref,retrieval_relevance
q20,B,1,1,1,1,1,1,NA,1,1,minor,none
q24,B,1,1,1,1,1,1,NA,1,1,minor,none
