target_family,priority,create_path,rationale,parallel_group,owner_risk
composition_brain,P0,backend/src/data_banks/document_intelligence/compose/answer_arc_recipes.any.json,"Missing answer arc planner",composition_lane,surface_shared
composition_brain,P0,backend/src/data_banks/document_intelligence/compose/anti_monotony_transforms.any.json,"Missing monotony breaker bank",composition_lane,surface_shared
composition_brain,P0,backend/src/data_banks/document_intelligence/compose/contrastive_style_examples.any.json,"Missing good-vs-bad premium style examples",composition_lane,surface_shared
composition_brain,P0,backend/src/data_banks/document_intelligence/compose/grounded_narrative_moves.any.json,"Missing evidence-to-narrative move catalog",composition_lane,surface_shared
composition_brain,P1,backend/src/data_banks/document_intelligence/compose/sentence_rhythm_profiles.any.json,"Missing cadence and sentence rhythm control",composition_lane,surface_shared
composition_brain,P1,backend/src/data_banks/document_intelligence/compose/repair_rewrite_strategies.any.json,"Missing self-repair rewrite transforms",composition_lane,surface_shared
composition_brain,P1,backend/src/data_banks/document_intelligence/compose/domain_voice_overlays.any.json,"Missing domain-specific voice overlays",composition_lane,surface_shared
composition_brain,P1,backend/src/data_banks/document_intelligence/compose/audience_adaptation_profiles.any.json,"Missing audience adaptation bank",composition_lane,surface_shared
clarification_repair_brain,P0,backend/src/data_banks/ambiguity/clarification_strategy_catalog.any.json,"Missing central clarify-vs-autopick strategy catalog",clarification_lane,clarification_shared
clarification_repair_brain,P0,backend/src/data_banks/ambiguity/recovery_playbooks.any.json,"Missing recovery playbooks for failed clarification and wrong picks",clarification_lane,clarification_shared
clarification_repair_brain,P1,backend/src/data_banks/ambiguity/autopick_explanations.any.json,"Missing concise autopick explanation bank",clarification_lane,clarification_shared
clarification_repair_brain,P1,backend/src/data_banks/quality/document_intelligence/clarification_repair_gates.any.json,"Missing post-generation clarify/repair quality gates",clarification_lane,clarification_shared
clarification_repair_brain,P1,backend/src/data_banks/microcopy/clarification_option_microcopy.any.json,"Missing option-label microcopy bank",clarification_lane,clarification_shared
clarification_repair_brain,P1,backend/src/data_banks/prompts/repair_response_prompt.any.json,"Missing repair prompt for bad first-pass answers",clarification_lane,clarification_shared
assistant_orchestration_brain,P0,backend/src/data_banks/policies/tool_choice_policy.any.json,"Missing tool selection policy",orchestration_lane,orchestration_shared
assistant_orchestration_brain,P0,backend/src/data_banks/policies/execution_escalation_policy.any.json,"Missing escalation policy across answer clarify retrieve edit",orchestration_lane,orchestration_shared
assistant_orchestration_brain,P0,backend/src/data_banks/policies/planner_executor_handoff.any.json,"Missing planner executor handoff contract",orchestration_lane,orchestration_shared
assistant_orchestration_brain,P1,backend/src/data_banks/llm/model_role_contracts.any.json,"Missing model-role specialization contracts",orchestration_lane,orchestration_shared
assistant_orchestration_brain,P1,backend/src/data_banks/llm/provider_selection_policy.any.json,"Missing provider and model selection policy",orchestration_lane,orchestration_shared
assistant_orchestration_brain,P1,backend/src/data_banks/routing/orchestration_priority.any.json,"Missing orchestration priority map",orchestration_lane,orchestration_shared
assistant_orchestration_brain,P1,backend/src/data_banks/prompts/tool_result_synthesis.any.json,"Missing prompt for tool-result synthesis",orchestration_lane,orchestration_shared
assistant_orchestration_brain,P1,backend/src/data_banks/prompts/final_answer_repair_prompt.any.json,"Missing last-mile answer repair prompt",orchestration_lane,orchestration_shared
field_exactness_evidence_brain,P0,backend/src/data_banks/document_intelligence/validation/field_exactness_policy.any.json,"Missing field exactness contract",evidence_lane,evidence_shared
field_exactness_evidence_brain,P0,backend/src/data_banks/document_intelligence/validation/evidence_trace_contract.any.json,"Missing evidence traceability contract",evidence_lane,evidence_shared
field_exactness_evidence_brain,P0,backend/src/data_banks/document_intelligence/validation/span_binding_rules.any.json,"Missing span-to-claim binding rules",evidence_lane,evidence_shared
field_exactness_evidence_brain,P1,backend/src/data_banks/document_intelligence/retrieval/field_binding_rules.any.json,"Missing retrieval-time field binding rules",evidence_lane,evidence_shared
field_exactness_evidence_brain,P1,backend/src/data_banks/document_intelligence/retrieval/cross_format_alignment_rules.any.json,"Missing cross-format evidence alignment rules",evidence_lane,evidence_shared
field_exactness_evidence_brain,P1,backend/src/data_banks/quality/document_intelligence/field_exactness.any.json,"Missing field exactness quality bank",evidence_lane,evidence_shared
field_exactness_evidence_brain,P1,backend/src/data_banks/quality/document_intelligence/evidence_trace.any.json,"Missing evidence trace quality bank",evidence_lane,evidence_shared
eval_proof_brain,P0,backend/src/data_banks/document_intelligence/eval/assistant_style_harsh.qa.jsonl,"Missing harsh style eval suite",eval_lane,eval_shared
eval_proof_brain,P0,backend/src/data_banks/document_intelligence/eval/clarification_repair.qa.jsonl,"Missing clarification and repair eval suite",eval_lane,eval_shared
eval_proof_brain,P0,backend/src/data_banks/document_intelligence/eval/evidence_trace.qa.jsonl,"Missing evidence trace eval suite",eval_lane,eval_shared
eval_proof_brain,P0,backend/src/data_banks/document_intelligence/eval/field_exactness.qa.jsonl,"Missing field exactness eval suite",eval_lane,eval_shared
