target_family,priority,current_path,reason,signal,parallel_group,owner_risk
composition_brain,P0,backend/src/data_banks/document_intelligence/compose/anti_robotic_style_rules.any.json,"Too thin to police premium variation","1 rule and no example lattice",composition_lane,surface_shared
composition_brain,P0,backend/src/data_banks/document_intelligence/compose/citation_policy.any.json,"Generated placeholder posture and low stylistic depth","template-driven compose bank",composition_lane,surface_shared
composition_brain,P0,backend/src/data_banks/document_intelligence/compose/clarification_prompts.any.json,"Canned prompts instead of strategy-level clarification logic","small prompt list plus fallback template",composition_lane,clarification_shared
composition_brain,P0,backend/src/data_banks/document_intelligence/compose/closers.any.json,"Tiny phrase bank will repeat visibly","sub-50-line surface bank",composition_lane,surface_shared
composition_brain,P0,backend/src/data_banks/document_intelligence/compose/empathy_and_support_language.any.json,"Canned empathy will read robotic","few phrases and 1 rule",composition_lane,surface_shared
composition_brain,P0,backend/src/data_banks/document_intelligence/compose/error_explanations.any.json,"Too small for nuanced failure explanation","tiny explanation bank",composition_lane,surface_shared
composition_brain,P0,backend/src/data_banks/document_intelligence/compose/fallback_messages.any.json,"Fallback surface is too small for premium quality","tiny message bank",composition_lane,surface_shared
composition_brain,P0,backend/src/data_banks/document_intelligence/compose/followup_suggestions.any.json,"Overlaps microcopy followup bank and is too thin","surface overlap plus placeholder template",composition_lane,surface_shared
composition_brain,P0,backend/src/data_banks/document_intelligence/compose/format_guardrails.any.json,"Guardrails are placeholder-level","generated fallback template present",composition_lane,surface_shared
composition_brain,P0,backend/src/data_banks/document_intelligence/compose/hedging_and_uncertainty_language.any.json,"Not enough uncertainty styles for premium outputs","few phrases and 1 rule",composition_lane,surface_shared
composition_brain,P0,backend/src/data_banks/document_intelligence/compose/help_microcopy.any.json,"Help copy is too small for adaptive assistance","tiny message bank",composition_lane,surface_shared
composition_brain,P0,backend/src/data_banks/document_intelligence/compose/jargon_control.any.json,"Needs real rewrite rules not tiny maps","tiny control bank",composition_lane,surface_shared
composition_brain,P0,backend/src/data_banks/document_intelligence/compose/openers.any.json,"Tiny opener bank will create repetition","sub-50-line surface bank",composition_lane,surface_shared
composition_brain,P0,backend/src/data_banks/document_intelligence/compose/response_templates.any.json,"Too few templates for A-grade variation","6 templates only",composition_lane,surface_shared
composition_brain,P0,backend/src/data_banks/document_intelligence/compose/safety_tone_overrides.any.json,"Safety tone is under-modeled","tiny override bank",composition_lane,surface_shared
composition_brain,P0,backend/src/data_banks/document_intelligence/compose/table_render_policy.any.json,"Generated placeholder posture and too little table rhetoric","template-driven compose bank",composition_lane,surface_shared
composition_brain,P0,backend/src/data_banks/document_intelligence/compose/tone_profiles.any.json,"Too few tone profiles and weak audience lattice","6 profiles only",composition_lane,surface_shared
composition_brain,P0,backend/src/data_banks/document_intelligence/compose/transition_phrases.any.json,"Tiny transition bank will repeat","small phrase bank",composition_lane,surface_shared
composition_brain,P0,backend/src/data_banks/document_intelligence/compose/verb_phrase_bank.any.json,"Verb bank is too small and generic","few phrases and 1 rule",composition_lane,surface_shared
composition_brain,P0,backend/src/data_banks/document_intelligence/compose/verbosity_ladder.any.json,"Verbosity control is too skeletal","1 rule and tiny levels",composition_lane,surface_shared
composition_brain,P0,backend/src/data_banks/document_intelligence/compose/voice_personality_profiles.any.json,"Voice layer is stub-grade","2 profiles and fallback template placeholder",composition_lane,surface_shared
assistant_orchestration_brain,P0,backend/src/data_banks/prompts/system_base.any.json,"System base is too short and generic","single short system message",orchestration_lane,orchestration_shared
assistant_orchestration_brain,P0,backend/src/data_banks/prompts/mode_chat.any.json,"Chat mode prompt lacks rich assistant behavior contract","tiny mode prompt",orchestration_lane,orchestration_shared
assistant_orchestration_brain,P0,backend/src/data_banks/prompts/task_answer_with_sources.any.json,"Answer contract is functional but too generic for premium style","thin answer-shape layer",orchestration_lane,orchestration_shared
assistant_orchestration_brain,P0,backend/src/data_banks/prompts/llm_global_guards.any.json,"Global guard surface is too small and not expressive enough","tiny prompt template bank",orchestration_lane,orchestration_shared
assistant_orchestration_brain,P0,backend/src/data_banks/prompts/fallback_prompt.any.json,"Fallback prompt needs richer recovery and next-step orchestration","small fallback layer",orchestration_lane,orchestration_shared
clarification_repair_brain,P0,backend/src/data_banks/microcopy/disambiguation_microcopy.any.json,"Useful constraints but too little actual recovery copy","policy-heavy and copy-light",clarification_lane,clarification_shared
composition_brain,P0,backend/src/data_banks/microcopy/allybi_response_style.any.json,"Editing voice layer is too small and repetitive","4 templates only",composition_lane,surface_shared
composition_brain,P0,backend/src/data_banks/microcopy/compliance_phrases.any.json,"Compliance language is too small for nuanced constraints","tiny phrase bank",composition_lane,surface_shared
clarification_repair_brain,P0,backend/src/data_banks/microcopy/scoped_not_found_messages.any.json,"Needs stronger recovery and reroute language","small not-found surface",clarification_lane,clarification_shared
composition_brain,P1,backend/src/data_banks/document_intelligence/domains/accounting/answer_style_bank.any.json,"Per-domain answer style bank is tiny and repetitive","domain surface stub",domain_surface_lane,domain_surface_shared
composition_brain,P1,backend/src/data_banks/document_intelligence/domains/banking/answer_style_bank.any.json,"Per-domain answer style bank is tiny and repetitive","domain surface stub",domain_surface_lane,domain_surface_shared
composition_brain,P1,backend/src/data_banks/document_intelligence/domains/billing/answer_style_bank.any.json,"Per-domain answer style bank is tiny and repetitive","domain surface stub",domain_surface_lane,domain_surface_shared
composition_brain,P1,backend/src/data_banks/document_intelligence/domains/education/answer_style_bank.any.json,"Per-domain answer style bank is tiny and repetitive","domain surface stub",domain_surface_lane,domain_surface_shared
composition_brain,P1,backend/src/data_banks/document_intelligence/domains/everyday/answer_style_bank.any.json,"Per-domain answer style bank is tiny and repetitive","domain surface stub",domain_surface_lane,domain_surface_shared
composition_brain,P1,backend/src/data_banks/document_intelligence/domains/finance/answer_style_bank.any.json,"Per-domain answer style bank is tiny and repetitive","domain surface stub",domain_surface_lane,domain_surface_shared
composition_brain,P1,backend/src/data_banks/document_intelligence/domains/housing/answer_style_bank.any.json,"Per-domain answer style bank is tiny and repetitive","domain surface stub",domain_surface_lane,domain_surface_shared
composition_brain,P1,backend/src/data_banks/document_intelligence/domains/hr_payroll/answer_style_bank.any.json,"Per-domain answer style bank is tiny and repetitive","domain surface stub",domain_surface_lane,domain_surface_shared
composition_brain,P1,backend/src/data_banks/document_intelligence/domains/identity/answer_style_bank.any.json,"Per-domain answer style bank is tiny and repetitive","domain surface stub",domain_surface_lane,domain_surface_shared
composition_brain,P1,backend/src/data_banks/document_intelligence/domains/insurance/answer_style_bank.any.json,"Per-domain answer style bank is tiny and repetitive","domain surface stub",domain_surface_lane,domain_surface_shared
composition_brain,P1,backend/src/data_banks/document_intelligence/domains/legal/answer_style_bank.any.json,"Per-domain answer style bank is tiny and repetitive","domain surface stub",domain_surface_lane,domain_surface_shared
composition_brain,P1,backend/src/data_banks/document_intelligence/domains/medical/answer_style_bank.any.json,"Per-domain answer style bank is tiny and repetitive","domain surface stub",domain_surface_lane,domain_surface_shared
composition_brain,P1,backend/src/data_banks/document_intelligence/domains/ops/answer_style_bank.any.json,"Per-domain answer style bank is tiny and repetitive","domain surface stub",domain_surface_lane,domain_surface_shared
composition_brain,P1,backend/src/data_banks/document_intelligence/domains/tax/answer_style_bank.any.json,"Per-domain answer style bank is tiny and repetitive","domain surface stub",domain_surface_lane,domain_surface_shared
composition_brain,P1,backend/src/data_banks/document_intelligence/domains/travel/answer_style_bank.any.json,"Per-domain answer style bank is tiny and repetitive","domain surface stub",domain_surface_lane,domain_surface_shared
governance_hygiene_brain,P1,backend/src/data_banks/document_intelligence/domains/accounting/disclaimer_policy.any.json,"Per-domain disclaimer is skeletal and duplicated","domain disclaimer stub",domain_surface_lane,domain_surface_shared
governance_hygiene_brain,P1,backend/src/data_banks/document_intelligence/domains/banking/disclaimer_policy.any.json,"Per-domain disclaimer is skeletal and duplicated","domain disclaimer stub",domain_surface_lane,domain_surface_shared
governance_hygiene_brain,P1,backend/src/data_banks/document_intelligence/domains/billing/disclaimer_policy.any.json,"Per-domain disclaimer is skeletal and duplicated","domain disclaimer stub",domain_surface_lane,domain_surface_shared
governance_hygiene_brain,P1,backend/src/data_banks/document_intelligence/domains/education/disclaimer_policy.any.json,"Per-domain disclaimer is skeletal and duplicated","domain disclaimer stub",domain_surface_lane,domain_surface_shared
governance_hygiene_brain,P1,backend/src/data_banks/document_intelligence/domains/everyday/disclaimer_policy.any.json,"Per-domain disclaimer is skeletal and duplicated","domain disclaimer stub",domain_surface_lane,domain_surface_shared
governance_hygiene_brain,P1,backend/src/data_banks/document_intelligence/domains/finance/disclaimer_policy.any.json,"Per-domain disclaimer is skeletal and duplicated","domain disclaimer stub",domain_surface_lane,domain_surface_shared
governance_hygiene_brain,P1,backend/src/data_banks/document_intelligence/domains/housing/disclaimer_policy.any.json,"Per-domain disclaimer is skeletal and duplicated","domain disclaimer stub",domain_surface_lane,domain_surface_shared
governance_hygiene_brain,P1,backend/src/data_banks/document_intelligence/domains/hr_payroll/disclaimer_policy.any.json,"Per-domain disclaimer is skeletal and duplicated","domain disclaimer stub",domain_surface_lane,domain_surface_shared
governance_hygiene_brain,P1,backend/src/data_banks/document_intelligence/domains/identity/disclaimer_policy.any.json,"Per-domain disclaimer is skeletal and duplicated","domain disclaimer stub",domain_surface_lane,domain_surface_shared
governance_hygiene_brain,P1,backend/src/data_banks/document_intelligence/domains/insurance/disclaimer_policy.any.json,"Per-domain disclaimer is skeletal and duplicated","domain disclaimer stub",domain_surface_lane,domain_surface_shared
governance_hygiene_brain,P1,backend/src/data_banks/document_intelligence/domains/legal/disclaimer_policy.any.json,"Per-domain disclaimer is skeletal and duplicated","domain disclaimer stub",domain_surface_lane,domain_surface_shared
governance_hygiene_brain,P1,backend/src/data_banks/document_intelligence/domains/medical/disclaimer_policy.any.json,"Per-domain disclaimer is skeletal and duplicated","domain disclaimer stub",domain_surface_lane,domain_surface_shared
governance_hygiene_brain,P1,backend/src/data_banks/document_intelligence/domains/ops/disclaimer_policy.any.json,"Per-domain disclaimer is skeletal and duplicated","domain disclaimer stub",domain_surface_lane,domain_surface_shared
governance_hygiene_brain,P1,backend/src/data_banks/document_intelligence/domains/tax/disclaimer_policy.any.json,"Per-domain disclaimer is skeletal and duplicated","domain disclaimer stub",domain_surface_lane,domain_surface_shared
governance_hygiene_brain,P1,backend/src/data_banks/document_intelligence/domains/travel/disclaimer_policy.any.json,"Per-domain disclaimer is skeletal and duplicated","domain disclaimer stub",domain_surface_lane,domain_surface_shared
