file,subsystem,LOC,score_0_30,grade,main_issues
backend/src/admin/routes/llmCost.routes.ts,backend.other,194,20,B,runtime_side_effects
backend/src/analytics/rollups/dailyRollup.job.ts,backend.other,393,17,C,weak_contract_enforcement|runtime_side_effects
backend/src/analytics/rollups/hourlyRollup.job.ts,backend.other,367,17,C,weak_contract_enforcement|runtime_side_effects
backend/src/app.ts,backend.other,275,15,D,weak_contract_enforcement|runtime_side_effects|non_specific_error_handling
backend/src/bootstrap/container.ts,backend.other,254,18,C,runtime_side_effects
backend/src/controllers/adminTelemetry.controller.ts,backend.controllers,595,17,C,weak_contract_enforcement|runtime_side_effects
backend/src/controllers/chat.controller.ts,backend.controllers,325,16,C,weak_contract_enforcement|weak_observability
backend/src/controllers/editing.controller.ts,backend.controllers,581,16,C,weak_observability
backend/src/controllers/rag.controller.ts,backend.controllers,229,16,C,weak_contract_enforcement|weak_observability
backend/src/data_banks/__bank_generation_report.any.json,databanks,44,14,D,non_specific_error_handling|weak_observability
backend/src/data_banks/ambiguity/ambiguity_negatives.any.json,databanks,249,14,D,weak_contract_enforcement|non_specific_error_handling|weak_observability
backend/src/data_banks/ambiguity/ambiguity_overlays.any.json,databanks,441,16,C,non_specific_error_handling|weak_observability
backend/src/data_banks/ambiguity/ambiguity_rank_features.any.json,databanks,293,15,D,weak_contract_enforcement|non_specific_error_handling|weak_observability
backend/src/data_banks/ambiguity/ambiguity_tests.any.json,databanks,297,13,D,weak_contract_enforcement|non_specific_error_handling|weak_observability
backend/src/data_banks/ambiguity/clarification_phrases.any.json,databanks,199,14,D,weak_contract_enforcement|non_specific_error_handling|weak_observability
backend/src/data_banks/ambiguity/confidence_calibration.any.json,databanks,229,15,D,weak_contract_enforcement|non_specific_error_handling|weak_observability
backend/src/data_banks/ambiguity/disambiguation_policies.any.json,databanks,276,14,D,weak_contract_enforcement|non_specific_error_handling|weak_observability
backend/src/data_banks/ambiguity/disambiguation_render_policy.any.json,databanks,255,14,D,weak_contract_enforcement|non_specific_error_handling|weak_observability
backend/src/data_banks/ambiguity/option_labeling_rules.any.json,databanks,242,15,D,weak_contract_enforcement|non_specific_error_handling|weak_observability
backend/src/data_banks/build_pattern_bank.ts,databanks,203,18,C,runtime_side_effects
backend/src/data_banks/dataBankRegistry.ts,databanks,1234,14,D,weak_contract_enforcement|runtime_side_effects
backend/src/data_banks/dictionaries/allybi_font_aliases.any.json,databanks,71,13,D,weak_contract_enforcement|non_specific_error_handling|weak_observability
backend/src/data_banks/dictionaries/connectors_synonyms.en.json,databanks,49,13,D,weak_contract_enforcement|non_specific_error_handling|weak_observability
backend/src/data_banks/dictionaries/connectors_synonyms.pt.json,databanks,49,13,D,weak_contract_enforcement|non_specific_error_handling|weak_observability
backend/src/data_banks/dictionaries/editing_synonyms.en.json,databanks,63,12,D,weak_contract_enforcement|non_specific_error_handling|weak_observability
backend/src/data_banks/dictionaries/editing_synonyms.pt.json,databanks,61,13,D,weak_contract_enforcement|non_specific_error_handling|weak_observability
backend/src/data_banks/dictionaries/file_actions_synonyms.en.json,databanks,44,13,D,weak_contract_enforcement|non_specific_error_handling|weak_observability
backend/src/data_banks/dictionaries/file_actions_synonyms.pt.json,databanks,45,13,D,weak_contract_enforcement|non_specific_error_handling|weak_observability
backend/src/data_banks/fallbacks/fallback_extraction_recovery.any.json,databanks,122,13,D,weak_contract_enforcement|non_specific_error_handling|weak_observability
backend/src/data_banks/fallbacks/fallback_not_found_scope.any.json,databanks,106,13,D,weak_contract_enforcement|non_specific_error_handling|weak_observability
backend/src/data_banks/fallbacks/fallback_processing.any.json,databanks,139,13,D,weak_contract_enforcement|non_specific_error_handling|weak_observability
backend/src/data_banks/fallbacks/fallback_router.any.json,databanks,347,16,C,weak_contract_enforcement
backend/src/data_banks/fallbacks/fallback_scope_empty.any.json,databanks,107,13,D,weak_contract_enforcement|non_specific_error_handling|weak_observability
backend/src/data_banks/formatting/answer_closers.any.json,databanks,151,12,D,weak_contract_enforcement|non_specific_error_handling|weak_observability
backend/src/data_banks/formatting/answer_openers.any.json,databanks,132,14,D,weak_contract_enforcement|non_specific_error_handling|weak_observability
backend/src/data_banks/formatting/answer_style_policy.any.json,databanks,479,12,D,weak_contract_enforcement|non_specific_error_handling|weak_observability
backend/src/data_banks/formatting/banned_phrases.any.json,databanks,257,12,D,weak_contract_enforcement|non_specific_error_handling|weak_observability
backend/src/data_banks/formatting/boilerplate_phrases.any.json,databanks,120,12,D,weak_contract_enforcement|non_specific_error_handling|weak_observability
backend/src/data_banks/formatting/bolding_rules.any.json,databanks,199,13,D,weak_contract_enforcement|non_specific_error_handling|weak_observability
backend/src/data_banks/formatting/bullet_rules.any.json,databanks,145,14,D,weak_contract_enforcement|non_specific_error_handling|weak_observability
backend/src/data_banks/formatting/citation_styles.any.json,databanks,181,12,D,weak_contract_enforcement|non_specific_error_handling|weak_observability
backend/src/data_banks/formatting/followup_templates.any.json,databanks,200,12,D,weak_contract_enforcement|non_specific_error_handling|weak_observability
backend/src/data_banks/formatting/list_styles.any.json,databanks,90,12,D,weak_contract_enforcement|non_specific_error_handling|weak_observability
backend/src/data_banks/formatting/paragraph_rules.any.json,databanks,153,14,D,weak_contract_enforcement|non_specific_error_handling|weak_observability
backend/src/data_banks/formatting/quote_styles.any.json,databanks,139,14,D,weak_contract_enforcement|non_specific_error_handling|weak_observability
backend/src/data_banks/formatting/render_policy.any.json,databanks,267,12,D,weak_contract_enforcement|non_specific_error_handling|weak_observability
backend/src/data_banks/formatting/table_rules.any.json,databanks,127,13,D,weak_contract_enforcement|non_specific_error_handling|weak_observability
backend/src/data_banks/formatting/table_styles.any.json,databanks,145,14,D,weak_contract_enforcement|non_specific_error_handling|weak_observability
backend/src/data_banks/formatting/truncation_and_limits.any.json,databanks,246,13,D,weak_contract_enforcement|non_specific_error_handling|weak_observability
backend/src/data_banks/generators/generateAllBanks.ts,databanks,1253,12,D,weak_contract_enforcement|runtime_side_effects|non_specific_error_handling
backend/src/data_banks/generators/generateCapabilitiesCatalog.ts,databanks,200,13,D,weak_contract_enforcement|runtime_side_effects|non_specific_error_handling
backend/src/data_banks/generators/parallel_bank_generator.ts,databanks,608,18,C,runtime_side_effects
backend/src/data_banks/intent_patterns/docx.en.any.json,databanks,2678,9,D,god_file_size|weak_contract_enforcement|non_specific_error_handling|weak_observability
backend/src/data_banks/intent_patterns/docx.pt.any.json,databanks,2645,9,D,god_file_size|weak_contract_enforcement|non_specific_error_handling|weak_observability
backend/src/data_banks/intent_patterns/excel.en.any.json,databanks,2676,13,D,god_file_size|non_specific_error_handling|weak_observability
